_id,Id,Name,Total Docks,Latitude,Longitude,Start Station Name,Total Count
19,19,42nd St & Butler St,15,40.470221,-79.96038,42nd St & Butler St,1014
7,7,Liberty Ave & Gross St,15,40.4595877,-79.9452035,Liberty Ave & Gross St,997
32,32,Ross St & Fourth Ave,15,40.4377006231877,-79.9964806777709,Ross St & Fourth Ave,855
8,8,Glasshouse,15,40.4329,-80.003,Glasshouse,818
24,24,Penn Ave & 33rd St,11,40.462,-79.9683,Penn Ave & 33rd St,817
1,1,Pierce St & Summerlea St,19,40.4565066778013,-79.9323305943069,Pierce St & Summerlea St,812
36,36,Penn Ave & S Pacific Ave,15,40.4646,-79.9399,Penn Ave & S Pacific Ave,785
35,35,Butler St & 36th St,15,40.4652642,-79.9656519999999,Butler St & 36th St,776
16,16,Penn Ave & Putnam St (Bakery Square),18,40.4559,-79.9153,Penn Ave & Putnam St (Bakery Square),764
31,31,First Ave & B St,15,40.435922,-79.997551,First Ave & B St,761
2,2,Eliza Furnace Trail & Swineburne St,15,40.4258,-79.9534,Eliza Furnace Trail & Swineburne St,754
57,57,52nd St & Butler St,19,40.4802827313896,-79.9542865670539,52nd St & Butler St,609
54,54,W Ohio St & Brighton Rd,19,40.4524674541611,-80.0138718403198,W Ohio St & Brighton Rd,558
5,5,Allegheny Station,19,40.448301,-80.018007,Allegheny Station,556
27,27,W Station Square Dr & Bessemer Court,15,40.4338,-80.0047,W Station Square Dr & Bessemer Court,502
55,55,Brighton Rd & Pennsylvania Ave,19,40.4564024103846,-80.0153926528312,Brighton Rd & Pennsylvania Ave,478
53,53,Centre Ave & Heldman St,19,40.4428413514563,-79.9816155947067,Centre Ave & Heldman St,259
3,3,Centre Ave & Addison St,15,40.4446,-79.9783,Centre Ave & Addison St,256
56,56,Rosetta St & N Aiken Ave,15,40.4670182950645,-79.9352321542121,Rosetta St & N Aiken Ave,251
44,44,Hamilton Ave & Fifth Ave,15,40.457569790831,-79.9099523342468,Hamilton Ave & Fifth Ave,241
52,52,Bedford Ave & Memory Ln,19,40.4483608122211,-79.9782681978561,Bedford Ave & Memory Ln,144
14,14,Tioga St & N Homewood Ave,15,40.4542263889049,-79.8975444133529,Tioga St & N Homewood Ave,119
60,60,Wilkinsburg Park & Ride,19,40.4469075070452,-79.8886448658325,Wilkinsburg Park & Ride,111
42,42,Second Ave & Tecumseh St,19,40.4088572936115,-79.9436837948181,Second Ave & Tecumseh St,98
45,45,N Braddock Ave & Hamilton Ave,15,40.4530103612023,-79.8912036932327,N Braddock Ave & Hamilton Ave,87
43,43,Eliza St & Lytle St,19,40.4134809838224,-79.9482542789794,Eliza St & Lytle St,59
46,46,N Braddock Ave & Frankstown Ave,15,40.4560595395468,-79.8899537838317,N Braddock Ave & Frankstown Ave,32
